crop,season,pH,soil_type,elevation,temperature
onion ,6,6.6,2,1200,21
onion ,6,6.6,2,1200,21
onion ,6,6.6,2,1200,21
onion ,6,6.6,2,1200,21
onion ,6,6.6,2,1200,21
onion ,6,6.6,2,1200,21
onion ,6,6.6,2,1200,21
onion ,6,6.6,2,1200,21
onion ,6,6.6,2,1200,21
onion ,6,6.6,2,1200,21
onion ,6,6.6,2,1200,21
onion ,6,6.6,2,1200,21
onion ,6,6.6,2,1200,21
onion ,6,6.6,2,1200,21
onion ,6,6.8,2,1200,21
onion ,6,6.8,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7,2,1200,21
onion ,6,7.2,2,1200,21
onion ,6,7.2,2,1200,21
onion ,6,7.2,2,1200,21
onion ,6,7.2,2,1200,21
onion ,6,7.4,2,1200,21
onion ,6,7.4,2,1200,21
onion ,6,7.4,2,1200,21
onion ,6,7.5,2,1200,21
onion ,6,7.5,2,1200,21
onion ,6,7.5,2,1200,21
onion ,6,7.5,2,1200,21
onion ,6,7.5,2,1200,21
onion ,6,7.5,2,1200,21
onion ,6,7.5,2,1200,21
onion ,6,7.5,2,1200,21
onion ,6,7.5,2,1200,21
onion ,6,7.5,2,1200,21
onion ,6,7.5,2,1200,21
onion ,7,6.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,7.5,2,1200,22
onion ,6,6,2,1200,22
onion ,6,6,2,1200,22
onion ,6,6,2,1200,22
onion ,6,6,2,1200,22
onion ,6,6,2,1200,22
onion ,6,6,2,1200,22
onion ,6,6,2,1200,22
onion ,6,6,2,1200,22
onion ,6,6,2,1200,22
onion ,6,6,2,1200,22
onion ,6,6,2,1200,22
onion ,6,6,2,1200,22
onion ,6,6,2,1200,22
onion ,6,6,2,1200,22
onion ,6,6,2,1200,22
onion ,6,6,2,1200,22
onion ,6,6,2,1200,22
onion ,6,6.1,2,1200,22
onion ,6,6.1,2,1200,22
onion ,6,6.1,2,1200,22
onion ,6,6.1,2,1200,22
onion ,6,6.1,2,1200,22
onion ,6,6.2,2,1200,22
onion ,6,6.2,2,1200,22
onion ,6,6.2,2,1200,22
onion ,6,6.2,2,1200,22
onion ,6,6.2,2,1200,22
onion ,6,6.2,2,1200,22
onion ,6,6.2,2,1200,22
onion ,6,6.2,2,1200,22
onion ,6,6.2,2,1200,22
onion ,6,6.3,2,1200,22
onion ,6,6.3,2,1200,22
onion ,6,6.3,2,1200,22
onion ,7,6.3,2,1200,22
onion ,7,6.3,2,1200,22
onion ,7,6.3,2,1200,22
onion ,7,6.3,2,1200,22
onion ,7,6.3,2,1200,22
onion ,7,6.4,2,1200,22
onion ,7,6.4,2,1200,22
onion ,7,6.4,2,1200,22
onion ,7,6.4,2,1200,22
onion ,7,6.4,2,1200,22
onion ,7,6.4,2,1200,22
onion ,7,6.4,2,1200,22
onion ,7,6.4,2,1200,22
onion ,7,6.4,2,1200,22
onion ,7,6.4,2,1200,22
onion ,7,6.4,2,1200,22
onion ,7,6.4,2,1200,22
onion ,7,6.5,2,1200,22
onion ,7,6.5,2,1200,22
onion ,7,6.5,2,1200,22
onion ,7,6.6,2,1200,22
onion ,7,6.6,2,1200,22
onion ,7,6.6,2,1200,22
onion ,7,6.6,2,1200,22
onion ,7,6.6,2,1200,22
onion ,7,6.6,2,1200,22
onion ,7,6.6,2,1200,22
onion ,7,6.6,2,1200,22
onion ,7,6.6,2,1200,22
onion ,7,6.6,2,1200,22
onion ,7,6.6,2,1200,22
onion ,7,6.6,2,1200,22
onion ,7,6.6,2,1200,22
onion ,7,6.6,2,1200,22
onion ,7,6.6,2,1200,22
onion ,7,6.6,2,1200,22
onion ,7,6.6,2,1200,22
onion ,7,6.6,2,1200,22
onion ,7,6.6,2,1200,22
onion ,7,6.8,2,1200,22
onion ,7,6.8,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7,2,1200,22
onion ,7,7.1,2,1200,22
onion ,7,7.2,2,1200,22
onion ,7,7.2,2,1200,22
onion ,7,7.2,2,1200,22
onion ,7,7.2,2,1200,22
onion ,7,7.4,2,1200,22
onion ,7,7.4,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,7,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6.1,2,1200,22
onion ,8,6.1,2,1200,22
onion ,8,6.1,2,1200,22
onion ,8,6.1,2,1200,22
onion ,8,6.1,2,1200,22
onion ,8,6.2,2,1200,22
onion ,8,6.2,2,1200,22
onion ,8,6.2,2,1200,22
onion ,8,6.2,2,1200,22
onion ,8,6.2,2,1200,22
onion ,8,6.2,2,1200,22
onion ,8,6.2,2,1200,22
onion ,8,6.2,2,1200,22
onion ,8,6.2,2,1200,22
onion ,8,6.3,2,1200,22
onion ,8,6.3,2,1200,22
onion ,8,6.3,2,1200,22
onion ,8,6.3,2,1200,22
onion ,8,6.3,2,1200,22
onion ,8,6.3,2,1200,22
onion ,8,6.3,2,1200,22
onion ,8,6.3,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.5,2,1200,22
onion ,8,6.5,2,1200,22
onion ,8,6.5,2,1200,22
onion ,8,6.5,2,1200,22
onion ,8,6.6,2,1200,22
onion ,8,6.6,2,1200,22
onion ,8,6.6,2,1200,22
onion ,8,6.6,2,1200,22
onion ,8,6.6,2,1200,22
onion ,8,6.6,2,1200,22
onion ,8,6.6,2,1200,22
onion ,8,6.6,2,1200,22
onion ,8,6.6,2,1200,22
onion ,8,6.6,2,1200,22
onion ,8,6.6,2,1200,22
onion ,8,6.6,2,1200,22
onion ,8,6.6,2,1200,22
onion ,8,6.6,2,1200,22
onion ,8,6.6,2,1200,22
onion ,8,6.6,2,1200,22
onion ,8,6.6,2,1200,22
onion ,8,6.6,2,1200,22
onion ,8,6.6,2,1200,22
onion ,8,6.8,2,1200,22
onion ,8,6.8,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7,2,1200,22
onion ,8,7.2,2,1200,22
onion ,8,7.2,2,1200,22
onion ,8,7.2,2,1200,22
onion ,8,7.2,2,1200,22
onion ,8,7.2,2,1200,22
onion ,8,7.4,2,1200,22
onion ,8,7.4,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,7.5,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6,2,1200,22
onion ,8,6.1,2,1200,22
onion ,8,6.1,2,1200,22
onion ,8,6.1,2,1200,22
onion ,8,6.1,2,1200,22
onion ,8,6.1,2,1200,22
onion ,8,6.2,2,1200,22
onion ,8,6.2,2,1200,22
onion ,8,6.2,2,1200,22
onion ,8,6.2,2,1200,22
onion ,8,6.2,2,1200,22
onion ,8,6.2,2,1200,22
onion ,8,6.2,2,1200,22
onion ,8,6.2,2,1200,22
onion ,8,6.2,2,1200,22
onion ,8,6.3,2,1200,22
onion ,8,6.3,2,1200,22
onion ,8,6.3,2,1200,22
onion ,8,6.3,2,1200,22
onion ,8,6.3,2,1200,22
onion ,8,6.3,2,1200,22
onion ,8,6.3,2,1200,22
onion ,8,6.3,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.4,2,1200,22
onion ,8,6.5,2,1200,22
onion ,8,6.5,2,1200,22
onion ,8,6.5,2,1200,22
onion ,8,6.6,2,1200,23
onion ,8,6.6,2,1200,23
onion ,8,6.6,2,1200,23
onion ,8,6.6,2,1200,23
onion ,8,6.6,2,1200,23
onion ,8,6.6,2,1200,23
onion ,8,6.6,2,1200,23
onion ,8,6.6,2,1200,23
onion ,8,6.6,2,1200,23
onion ,8,6.6,2,1200,23
onion ,8,6.6,2,1200,23
onion ,8,6.6,2,1200,23
onion ,8,6.6,2,1200,23
onion ,8,6.6,2,1200,23
onion ,8,6.6,2,1200,23
onion ,8,6.6,2,1200,23
onion ,8,6.6,2,1200,23
onion ,8,6.6,2,1200,23
onion ,8,6.6,2,1200,23
onion ,8,6.6,2,1200,23
onion ,8,6.8,2,1200,23
onion ,8,6.8,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7,2,1200,23
onion ,8,7.2,2,1200,23
onion ,8,7.2,2,1200,23
onion ,8,7.2,2,1200,23
onion ,8,7.2,2,1200,23
onion ,8,7.4,2,1200,23
onion ,8,7.4,2,1200,23
onion ,8,7.4,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,8,7.5,2,1200,23
onion ,9,7.5,2,1200,23
onion ,9,7.5,2,1200,23
onion ,9,7.5,2,1200,23
onion ,9,7.5,2,1200,23
onion ,9,7.5,2,1200,23
onion ,9,7.5,2,1200,23
onion ,9,7.5,2,1200,23
onion ,9,7.5,2,1200,23
onion ,9,7.5,2,1200,23
onion ,9,7.5,2,1200,23
onion ,9,7.5,2,1200,23
onion ,9,7.5,2,1200,23
onion ,9,7.5,2,1200,23
onion ,9,7.5,2,1200,23
onion ,9,7.5,2,1200,23
onion ,9,7.5,2,1200,23
onion ,9,7.5,2,1200,23
onion ,9,7.5,2,1200,23
onion ,9,6,2,1200,24
onion ,9,6,2,1200,24
onion ,9,6,2,1200,24
onion ,9,6,2,1200,24
onion ,9,6,2,1200,24
onion ,9,6,2,1200,24
onion ,9,6,2,1200,24
onion ,9,6,2,1200,24
onion ,9,6,2,1200,24
onion ,9,6,2,1200,24
onion ,9,6,2,1200,24
onion ,9,6,2,1200,24
onion ,9,6,2,1200,24
onion ,9,6,2,1200,24
onion ,9,6,2,1200,24
onion ,9,6,2,1200,24
onion ,9,6,2,1200,24
onion ,9,6.1,2,1300,24
onion ,9,6.1,2,1300,24
onion ,9,6.1,2,1300,24
onion ,9,6.1,2,1300,24
onion ,9,6.2,2,1300,24
onion ,9,6.2,2,1300,24
onion ,9,6.2,2,1300,24
onion ,9,6.2,2,1300,24
onion ,9,6.2,2,1300,24
onion ,9,6.2,2,1300,24
onion ,9,6.2,2,1300,24
onion ,9,6.2,2,1300,24
onion ,9,6.2,2,1300,24
onion ,9,6.3,2,1300,24
onion ,9,6.3,2,1300,24
onion ,9,6.3,2,1300,24
onion ,9,6.3,2,1300,24
onion ,9,6.3,2,1300,24
onion ,9,6.3,2,1300,24
onion ,9,6.3,2,1300,24
onion ,9,6.3,2,1300,24
onion ,9,6.3,2,1300,24
onion ,9,6.4,2,1300,24
onion ,9,6.4,2,1300,24
onion ,9,6.4,2,1300,24
onion ,9,6.4,2,1300,24
onion ,9,6.4,2,1300,24
onion ,9,6.4,2,1300,24
onion ,9,6.4,2,1300,24
onion ,9,6.4,2,1300,24
onion ,9,6.4,2,1300,24
onion ,9,6.4,2,1300,24
onion ,9,6.4,2,1300,24
onion ,9,6.4,2,1300,24
onion ,9,6.5,2,1300,24
onion ,9,6.5,2,1300,24
onion ,9,6.5,2,1300,24
onion ,9,6.6,2,1300,24
onion ,9,6.6,2,1300,24
onion ,9,6.6,2,1300,24
onion ,9,6.6,2,1300,24
onion ,9,6.6,2,1300,24
onion ,9,6.6,2,1300,24
onion ,9,6.6,2,1300,24
onion ,9,6.6,2,1300,24
onion ,9,6.6,2,1300,24
onion ,9,6.6,2,1300,24
onion ,9,6.6,2,1300,24
onion ,9,6.6,2,1300,24
onion ,9,6.6,2,1300,24
onion ,9,6.6,2,1300,24
onion ,9,6.6,2,1300,24
onion ,9,6.6,2,1300,24
onion ,9,6.6,2,1300,24
onion ,9,6.6,2,1300,24
onion ,9,6.6,2,1300,24
onion ,9,6.8,2,1300,24
onion ,9,6.8,2,1300,24
onion ,9,6.8,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7,2,1300,24
onion ,9,7.2,2,1300,24
onion ,9,7.2,2,1300,24
onion ,9,7.2,2,1300,24
onion ,9,7.2,2,1300,24
onion ,9,7.4,2,1300,24
onion ,9,7.4,2,1300,24
onion ,9,7.4,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,7.5,2,1300,24
onion ,9,6,2,1300,24
onion ,9,6,2,1300,24
onion ,9,6,2,1300,24
onion ,9,6,2,1300,24
onion ,9,6,2,1300,24
onion ,9,6,2,1300,24
onion ,9,6,2,1300,24
onion ,9,6,2,1300,24
onion ,9,6,2,1300,24
onion ,9,6,2,1300,24
onion ,9,6,2,1300,24
onion ,9,6,2,1300,24
onion ,9,6,2,1300,24
onion ,9,6,2,1300,24
onion ,9,6,2,1300,24
onion ,10,6,2,1300,24
onion ,10,6,2,1300,24
onion ,10,6.1,2,1300,24
onion ,10,6.1,2,1300,24
onion ,10,6.1,2,1300,24
onion ,10,6.1,2,1300,25
onion ,10,6.2,2,1300,25
onion ,10,6.2,2,1300,25
onion ,10,6.2,2,1300,25
onion ,10,6.2,2,1300,25
onion ,10,6.2,2,1300,25
onion ,10,6.2,2,1300,25
onion ,10,6.2,2,1300,25
onion ,10,6.2,2,1300,25
onion ,10,6.2,2,1300,25
onion ,10,6.3,2,1300,25
onion ,10,6.3,2,1300,25
onion ,10,6.3,2,1300,25
onion ,10,6.3,2,1300,25
onion ,10,6.3,2,1300,25
onion ,10,6.3,2,1300,25
onion ,10,6.3,2,1300,25
onion ,10,6.3,2,1300,25
onion ,10,6.3,2,1300,25
onion ,10,6.4,2,1300,25
onion ,10,6.4,2,1300,25
onion ,10,6.4,2,1300,25
onion ,10,6.4,2,1300,25
onion ,10,6.4,2,1300,25
onion ,10,6.4,2,1300,25
onion ,10,6.4,2,1300,25
onion ,10,6.4,2,1300,25
onion ,10,6.4,2,1300,25
onion ,10,6.4,2,1300,25
onion ,10,6.4,2,1300,25
onion ,10,6.4,2,1300,25
onion ,10,6.5,2,1300,25
onion ,10,6.5,2,1300,25
onion ,10,6.5,2,1300,25
onion ,10,6.6,2,1300,25
onion ,10,6.6,2,1300,25
onion ,10,6.6,2,1300,25
onion ,10,6.6,2,1300,25
onion ,10,6.6,2,1300,25
onion ,10,6.6,2,1200,25
onion ,10,6.6,2,1600,25
onion ,10,6.6,2,1600,25
onion ,10,6.6,2,1600,25
onion ,10,6.6,2,1200,25
onion ,10,6.6,2,1200,25
onion ,10,6.6,2,1200,25
onion ,10,6.6,2,1200,25
onion ,10,6.6,2,1200,25
